,patent
1359,5960796
1360,5825385
1361,5418873
1362,5222239
1363,5596446
1364,4588332
1365,4410651
1366,5361224
1367,5173605
1368,5825810
1369,5234410
1370,5341415
1371,5553290
1372,4658094
1373,4419662
1374,4404331
1375,5653939
1376,4546451
1377,5742595
1378,5048525
1379,5981675
1380,5312555
1381,4216483
1382,5700291
1383,5963971
1384,5113860
1385,4747050
1386,5120309
1387,4770931
1388,4293632
1389,4746480
1390,5358487
1391,5885753
1392,4803184
1393,5213112
1394,5693593
1395,4693708
1396,5367326
1397,4702917
1398,5348972
1399,4291185
1400,5057313
1401,5843056
1402,4343785
1403,5946134
1404,5716394
1405,4557990
1406,4732763
1407,5869097
1408,4513015
1409,5539066
1410,5638493
1411,4985205
1412,5664128
1413,4286602
1414,5910777
1415,5736371
1416,4446488
1417,5759830
1418,5697923
1419,5217656
1420,4083232
1421,5820850
1422,5574726
1423,5439492
1424,5796834
1425,4273721
1426,5441521
1427,5966866
1428,5873115
1429,5820845
1430,5725568
1431,5648029
1432,5434776
1433,5436019
1434,5586268
1435,5350601
1436,5189091
1437,4927018
1438,4734717
1439,5504801
1440,4931044
1441,5468237
1442,4783732
1443,4379105
1444,5011801
1445,5476476
1446,5075848
1447,3876452
1448,4914067
1449,4452845
1450,4414962
1451,5840325
1452,5661652
1453,5961639
1454,5181946
1455,4918521
1456,4763356
1457,5505689
1458,4342083
1459,3919177
1460,4483974
1461,5274771
1462,5254509
1463,4303066
1464,5881378
1465,5812453
1466,4477650
1467,5943069
1468,4155745
1469,5813224
1470,5811088
1471,5826094
1472,5477351
1473,4454234
1474,5731073
1475,4232672
1476,5200434
1477,4053986
1478,5239654
1479,5735445
1480,5071416
1481,5774664
1482,5279938
1483,4720345
1484,4937237
1485,5164341
1486,4462943
1487,5276865
1488,5114402
1489,5268782
1490,5649919
1491,4985829
1492,5871135
1493,5106363
1494,4075130
1495,4436566
1496,5690666
1497,5532177
1498,5903551
1499,4682594
1500,4808511
1501,5347713
1502,5446880
1503,5937051
1504,5509929
1505,5846205
1506,5352516
1507,5693412
1508,5827816
1509,4672377
1510,4976728
1511,5725498
1512,4916531
1513,5914530
1514,5406832
1515,4419304
1516,5643254
1517,5423885
1518,5877966
1519,5526298
1520,4541438
1521,4880850
1522,5119115
1523,3859380
1524,5905261
1525,3994847
1526,5480793
1527,5335266
1528,5706369
1529,4442251
1530,5849678
